Simplified	Traditional	Japanese	Pinyin	Jyutping	CC-CEDICT English definition
响	響	音	xiǎng	hoeng2	echo / sound / noise / to make a sound / to sound / to ring / loud / classifier for noises
居	居	家	jū	geoi1	surname Ju || (archaic) sentence-final particle expressing a doubting attitude || to reside / to be (in a certain position) / to store up / to be at a standstill / residence / house / restaurant / classifier for bedrooms
垃圾	垃圾	ゴミ	lā jī	laap6 kap1	trash / refuse / garbage / (coll.) of poor quality / Taiwan pr. [le4 se4]
桶	桶	バレル	tǒng	tung2	bucket / (trash) can / barrel (of oil etc) / CL: 個｜个, 隻｜只
丢	丟	投げます	diū	diu1	to lose / to put aside / to throw
脏	髒	汚いです	zàng	zong1	viscera / (anatomy) organ || dirty / filthy
垃	垃	ごみ	lā	laap6	see 垃圾 / Taiwan pr. [le4]
圾	圾	酷いです	jī	kap1	see 垃圾 / Taiwan pr. [se4]
先生	先生	氏	xiān sheng	sin1 saang1	Mister (Mr.) || teacher / husband / doctor (dialect) / CL: 位
小姐	小姐	若い女性	xiǎo jie	siu2 ze2	young lady / miss / (slang) prostitute / CL: 個｜个, 位
经理	經理	マネージャー	jīng lǐ	ging1 lei5	manager / director / CL: 個｜个, 位, 名
同事	同事	同僚	tóng shì	tung4 si6	colleague / co-worker / CL: 個｜个, 位
突然	突然	突然	tū rán	dat6 jin4	sudden / abrupt / unexpected
重要	重要	重要	zhòng yào	cung4 jiu3	important / significant / major
会议	會議	出会い	huì yì	wui2 ji5	meeting / conference / CL: 場｜场, 屆｜届
突	突	突然	tū	dat6	to dash / to move forward quickly / to bulge / to protrude / to break through / to rush out / sudden / Taiwan pr. [tu2]
重	重	重量	chóng	cung4	to repeat / repetition / again / re- / classifier: layer || heavy / serious / to attach importance to
议	議	話し合います	yì	ji5	to comment on / to discuss / to suggest
解决	解決	解きます	jiě jué	gaai2 kyut3	to settle (a dispute) / to resolve / to solve / to dispose of / to dispatch
办法	辦法	道	bàn fǎ	baan6 faat3	means / method / way (of doing sth) / CL: 條｜条, 個｜个
相信	相信	信じます	xiāng xìn	soeng1 seon3	to be convinced (that sth is true) / to believe / to accept sth as true
决	決	決めます	jué	kyut3	to decide / to determine / to execute (sb) / (of a dam etc) to breach or burst / definitely / certainly
解	解	ソリューション	xiè	gaai2	surname Xie || to divide / to break up / to split / to separate / to dissolve / to solve / to melt / to remove / to untie / to loosen / to open / to emancipate / to explain / to understand / to know / a solution / a dissection || to transport under guard || acrobatic display (esp. on horseback) (old) / variant of 懈 and 邂 (old)
界	界	円	jiè	gaai3	boundary / scope / extent / circles / group / kingdom (taxonomy)
河	河	川	hé	ho4	river / CL: 條｜条, 道
世	世	世界	shì	sai3	surname Shi || life / age / generation / era / world / lifetime / epoch / descendant / noble
黄河	黃河	黄河	huáng hé	wong4 ho4	Yellow River or Huang He
动物	動物	動物	dòng wù	dung6 mat6	animal / CL: 隻｜只, 群, 個｜个
有名	有名	名高いです	yǒu míng	jau5 ming4	famous / well-known
世界	世界	世界	shì jiè	sai3 gaai3	world / CL: 個｜个
长江	長江	揚子江	cháng jiāng	coeng4 gong1	Yangtze River, or Chang Jiang
江	江	川	jiāng	gong1	surname Jiang || river / CL: 條｜条, 道
多么	多麽	どのように	duō me	do1 mo1	how (wonderful etc) / what (a great idea etc) / however (difficult it may be etc) / (in interrogative sentences) how (much etc) / to what extent
熊猫	熊貓	パンダ	xióng māo	hung4 maau1	panda / CL: 隻｜只
西安	西安	西安	xī ān	sai1 ngon1	Xi'an, sub-provincial city and capital of Shaanxi 陝西省｜陕西省 in northwest China / see 西安區｜西安区
啊	啊	ああ	ā	aa1	interjection of surprise / Ah! / Oh! || interjection expressing doubt or requiring answer / Eh? / what? || interjection of surprise or doubt / Eh? / My! / what's up? || interjection or grunt of agreement / uhm / Ah, OK / expression of recognition / Oh, it's you! || modal particle ending sentence, showing affirmation, approval, or consent
熊	熊	ベア	xióng	hung4	surname Xiong || bear / to scold / to rebuke / brilliant light / to shine brightly
长城	長城	万里の長城	cháng chéng	coeng4 sing4	the Great Wall
故宫	故宮	紫禁城	gù gōng	gu3 gung1	the Forbidden City / abbr. for 故宮博物院｜故宫博物院 || former imperial palace
宫	宮	宮殿	gōng	gung1	surname Gong || palace / temple / castration (as corporal punishment) / first note in pentatonic scale
山	山	山	shān	saan1	surname Shan || mountain / hill / anything that resembles a mountain / CL: 座 / bundled straw in which silkworms spin cocoons / gable
者	者	人	zhě	ze2	(after a verb or adjective) one who (is) ... / (after a noun) person involved in ... / -er / -ist / (used after a number or 後｜后 or 前 to refer to sth mentioned previously) / (used after a term, to mark a pause before defining the term) / (old) (used at the end of a command) / (old) this
爬	爬	登ります	pá	paa4	to crawl / to climb / to get up or sit up
或	或	若しくは	huò	waak6	maybe / perhaps / might / possibly / or
自行车	自行車	自転車	zì xíng chē	zi6 hang4 ce1	bicycle / bike / CL: 輛｜辆
或者	或者	若しくは	huò zhě	waak6 ze2	or / possibly / maybe / perhaps
爬山	爬山	登ります	pá shān	paa4 saan1	to climb a mountain / to mountaineer / hiking / mountaineering
功夫	功夫	努力	gōng fu	gung1 fu1	skill / art / kung fu / labor / effort
功	功	ゴング	gōng	gung1	meritorious deed or service / achievement / result / service / accomplishment / work (physics)
文化	文化	文化	wén huà	man4 faa3	culture / civilization / cultural / CL: 個｜个, 種｜种
历史	曆史	歴史	lì shǐ	lik6 si2	history / CL: 門｜门, 段
兴趣	興趣	関心	xìng qù	hing1 ceoi3	interest (desire to know about sth) / interest (thing in which one is interested) / hobby / CL: 個｜个
感兴趣	感興趣	興味があります	gǎn xìng qù	gam2 hing1 ceoi3	to be interested
历	曆	カレンダー	lì	lik6	calendar || to experience / to undergo / to pass through / all / each / every / history
趣	趣	関心	qù	ceoi3	interesting / to interest
史	史	歴史	shǐ	si2	surname Shi || history / annals / title of an official historian in ancient China
为了	為了	へ	wèi le	wai4 liu5	in order to / for the purpose of / so as to
特别	特別	特別な	tè bié	dak6 bit6	especially / special / particular / unusual
了解	了解	理解します	liǎo jiě	liu5 gaai2	to understand / to realize / to find out || to understand / to realize / to find out
麻将	麻將	麻雀	má jiàng	maa4 zoeng3	mahjong / CL: 副
特	特	特別な	tè	dak6	special / unique / distinguished / especially / unusual / very
麻	麻	麻	má	maa4	surname Ma || generic name for hemp, flax etc / hemp or flax fiber for textile materials / sesame / CL: 縷｜缕 / (of materials) rough or coarse / pocked / pitted / to have pins and needles or tingling / to feel numb
将	將	意志	jiāng	zoeng3	will / shall / to use / to take / to checkmate / just a short while ago / (introduces object of main verb, used in the same way as 把) || general / commander-in-chief (military) / king (chess piece) / to command / to lead || to desire / to invite / to request
顾	顧	出席する	gù	gu3	surname Gu || to look after / to take into consideration / to attend to
死	死	死にました	sǐ	sei2	to die / impassable / uncrossable / inflexible / rigid / extremely / damned
闷	悶	息苦しいです	mēn	mun6	stuffy / shut indoors / to smother / to cover tightly || bored / depressed / melancholy / sealed / airtight / tightly closed
腿	腿	足	tuǐ	teoi2	leg / CL: 條｜条 || hip bone / old variant of 腿
照顾	照顧	世話	zhào gu	ziu3 gu3	to take care of / to show consideration / to attend to / to look after
公斤	公斤	キログラム	gōng jīn	gung1 gan1	kilogram (kg)
着急	著急	心配	zháo jí	zyu3 gap1	to worry / to feel anxious / Taiwan pr. [zhao1 ji2]
瘦	瘦	薄いです	shòu	sau3	thin / to lose weight / (of clothing) tight / (of meat) lean / (of land) unproductive
斤	斤	ジン	jīn	gan1	catty / (PRC) weight equal to 500 g / (Tw) weight equal to 600 g / (HK, Malaysia, Singapore) slightly over 604 g
急	急	緊急	jí	gap1	urgent / pressing / rapid / hurried / worried / to make (sb) anxious
咳嗽	咳嗽	咳	ké sou	kat1 sau2	to cough / CL: 陣｜阵
抽烟	抽煙	喫煙	chōu yān	cau1 jin1	to smoke (a cigarette, tobacco)
咳	咳	咳	hāi	kat1	sound of sighing || cough
嗽	嗽	咳	sòu	sau2	cough
抽	抽	描きます	chōu	cau1	to draw out / to pull out from in between / to remove part of the whole / (of certain plants) to sprout or bud / to whip or thrash
烟	煙	煙	yān	jin1	cigarette or pipe tobacco / CL: 根 / smoke / mist / vapour / CL: 縷｜缕 / tobacco plant / (of the eyes) to be irritated by smoke
际	際	時	jì	zai3	border / edge / boundary / interval / between / inter- / to meet / time / occasion / to meet with (circumstances)
柜	櫃	キャビネット	jǔ	gwai6	Salix multinervis || cupboard / cabinet / wardrobe
转	轉	ターン	zhuǎi	zyun2	see 轉文｜转文 || to turn / to change direction / to transfer / to forward (mail) || to revolve / to turn / to circle about / to walk about / classifier for revolutions (per minute etc): revs, rpm / classifier for repeated actions
转机	轉機	接続	zhuǎn jī	zyun2 gei1	(to take) a turn for the better / to change planes
柜台	櫃台	カウンター	guì tái	gwai6 toi4	sales counter / front desk / bar / (of markets, medicines etc) OTC (over-the-counter)
国际	國際	国際	guó jì	gwok3 zai3	international
换钱	換錢	お金を変更	huàn qián	wun6 cin2	to change money / to sell
银行	銀行	銀行	yín háng	ngan4 hang4	bank / CL: 家, 個｜个
充电	充電	充電	chōng diàn	cung1 din6	to recharge batteries / fig. to rest and recuperate
国内	國內	国内の	guó nèi	gwok3 noi6	domestic / internal (to a country) / civil
银	銀	銀	yín	ngan4	silver / silver-colored / relating to money or currency
充	充	チャージ	chōng	cung1	to fill / to satisfy / to fulfill / to act in place of / substitute / sufficient / full
内	內	以内	nèi	noi6	inside / inner / internal / within / interior
充值	充值	リチャージ	chōng zhí	cung1 zik6	to recharge (money onto a card)
漫游	漫遊	ローミング	màn yóu	maan6 jau4	to travel around / to roam / (mobile telephony) roaming
电话卡	電話卡	テレフォンカード	diàn huà kǎ	din6 waa6 kaa1	telephone card
值	值	値	zhí	zik6	value / (to be) worth / to happen to / to be on duty
订房	訂房	予約	dìng fáng	deng6 fong4	to reserve a room
退房	退房	チェックアウト	tuì fáng	teoi3 fong4	to check out of a hotel room
取消	取消	キャンセル	qǔ xiāo	ceoi2 siu1	to cancel / cancellation
导游	導遊	ガイド	dǎo yóu	dou6 jau4	tour guide / guidebook / to conduct a tour
取	取	取ります	qǔ	ceoi2	to take / to get / to choose / to fetch
导	導	リード	dǎo	dou6	to transmit / to lead / to guide / to conduct / to direct
消	消	省きます	xiāo	siu1	to disappear / to vanish / to eliminate / to spend (time) / have to / need
答	答	答え	dā	daap3	to answer / to agree || reply / answer / return / respond / echo
句	句	文	jù	geoi3	sentence / clause / phrase / classifier for phrases or lines of verse
简	簡	ブリーフ	jiǎn	gaan2	simple / uncomplicated / letter / to choose / to select / bamboo strips used for writing (old)
简单	簡單	シンプル	jiǎn dān	gaan2 daan1	simple / not complicated
句子	句子	文	jù zi	geoi3 zi2	sentence / CL: 個｜个
回答	回答	答え	huí dá	wui4 daap3	to reply / to answer / the answer / CL: 個｜个
词典	詞典	辞書	cí diǎn	ci4 din2	dictionary (of Chinese compound words) / also written 辭典｜辞典 / CL: 部, 本
应用	應用	アプリケーション	yìng yòng	jing3 jung6	to use / to apply / application / applicable
语法	語法	文法	yǔ fǎ	jyu5 faat3	grammar
流利	流利	流暢	liú lì	lau4 lei6	fluent
词	詞	単語	cí	ci4	word / statement / speech / lyrics / CL: 組｜组, 個｜个 / a form of lyric poetry, flourishing in the Song dynasty 宋朝 / CL: 首
流	流	ストリーム	liú	lau4	to flow / to disseminate / to circulate or spread / to move or drift / to degenerate / to banish or send into exile / stream of water or sth resembling one / class, rate or grade
典	典	コード	diǎn	din2	canon / law / standard work of scholarship / literary quotation or allusion / ceremony / to be in charge of / to mortgage or pawn
下载	下載	ダウンロード	xià zǎi	haa6 zoi3	to download / also pr. [xia4 zai4]
多邻国	多鄰國	Duolingo	duō lín guó	do1 leon4 gwok3	duolingo
翻译	翻譯	翻訳	fān yì	faan1 jik6	to translate / to interpret / translator / interpreter / translation / interpretation / CL: 個｜个, 位, 名
翻	翻	ターン	fān	faan1	to turn over / to flip over / to overturn / to rummage through / to translate / to decode / to double / to climb over or into / to cross
载	載	ロード	zǎi	zoi3	to record in writing / to carry (i.e. publish in a newspaper etc) / Taiwan pr. [zai4] / year || to carry / to convey / to load / to hold / to fill up / and / also / as well as / simultaneously
译	譯	訳します	yì	jik6	to translate / to interpret
把	把	ザ・	bǎ	baa2	to hold / to contain / to grasp / to take hold of / handle / particle marking the following noun as a direct object / classifier for objects with handle / classifier for small objects: handful || handle
灯	燈	ライト	dēng	dang1	lamp / light / lantern / CL: 盞｜盏
空调	空調	空調	kōng tiáo	hung1 diu6	air conditioning / air conditioner (including units that have a heating mode) / CL: 臺｜台
画	畫	絵	huà	waa2	to draw / picture / painting / CL: 幅, 張｜张 / classifier for paintings etc / variant of 劃｜划
厨房	廚房	キッチン	chú fáng	cyu4 fong4	kitchen / CL: 間｜间
客厅	客廳	パーラー	kè tīng	haak3 teng1	drawing room (room for arriving guests) / living room / CL: 間｜间
厨	廚	キッチン	chú	cyu4	kitchen
厅	廳	ホール	tīng	teng1	(reception) hall / living room / office / provincial government department
客人	客人	ゲスト	kè rén	haak3 jan4	visitor / guest / customer / client / CL: 位
打扫	打掃	クリーン	dǎ sǎo	daa2 sou3	to clean / to sweep
干净	幹淨	クリーン	gān jìng	gon3 zing6	clean / neat
扫	掃	スイープ	sǎo	sou3	to sweep || broom
净	淨	ネット	jìng	zing6	clean / completely / only / net (income, exports etc) / (Chinese opera) painted face male role
电梯	電梯	エレベーター	diàn tī	din6 tai1	elevator / escalator / CL: 臺｜台, 部
坏	壞	悪いです	huài	waai6	bad / spoiled / broken / to break down / (suffix) to the utmost
被	被	あります	bèi	bei6	quilt / by / (indicates passive-voice clauses) / (literary) to cover / to meet with
厕所	廁所	トイレ	cè suǒ	ci3 so2	toilet / lavatory / CL: 間｜间, 處｜处
厕	廁	トイレ	cè	ci3	restroom / toilet / lavatory || see 茅廁｜茅厕
梯	梯	ラダー	tī	tai1	ladder / stairs
寒	寒	冷たいです	hán	hon4	cold / poor / to tremble
暑	暑	熱	shǔ	syu2	heat / hot weather / summer heat
复	複	コンプレックス	fù	fuk1	to go and return / to return / to resume / to return to a normal or original state / to repeat / again / to recover / to restore / to turn over / to reply / to answer / to reply to a letter / to retaliate / to carry out || to repeat / to double / to overlap / complex (not simple) / compound / composite / double / diplo- / duplicate / overlapping / to duplicate
记得	記得	思い出します	jì de	gei3 dak1	to remember
复习	複習	レビュー	fù xí	fuk1 zaap6	to review / revision / CL: 次
数学	數學	数学	shù xué	sou3 hok6	mathematics / mathematical
放假	放假	休日	fàng jià	fong3 gaa3	to have a holiday or vacation
暑假	暑假	夏休み	shǔ jià	syu2 gaa3	summer vacation / CL: 個｜个
寒假	寒假	冬休み	hán jià	hon4 gaa3	winter vacation
终于	終于	遂に	zhōng yú	zung1 jyu1	at last / in the end / finally / eventually
结束	結束	終了	jié shù	git3 cuk1	termination / to finish / to end / to conclude / to close
放松	放松	リラックス	fàng sōng	fong3 sung1	to loosen / to relax
大学	大學	大学	dà xué	daai6 hok6	the Great Learning, one of the Four Books 四書｜四书 in Confucianism || university / college / CL: 所
终	終	終了	zhōng	zung1	end / finish
于	于	へ	yú	jyu1	surname Yu || to go / to take / sentence-final interrogative particle / variant of 於｜于 || in / at / to / from / by / than / out of
束	束	バンドル	shù	cuk1	surname Shu || to bind / bunch / bundle / classifier for bunches, bundles, beams of light etc / to control
成绩	成績	実績	chéng jì	sing4 zik1	achievement / performance records / grades / CL: 項｜项, 個｜个
担心	擔心	心配	dān xīn	daam1 sam1	anxious / worried / uneasy / to worry / to be anxious
专业	專業	専門	zhuān yè	zyun1 jip6	specialty / specialized field / main field of study (at university) / major / CL: 門｜门, 個｜个 / professional
担	擔	ダン	dān	daam1	to undertake / to carry / to shoulder / to take responsibility || picul (100 catties, 50 kg) / two buckets full / carrying pole and its load / classifier for loads carried on a shoulder pole
专	專	特別な	zhuān	zyun1	for a particular person, occasion, purpose / focused on one thing / special / expert / particular (to sth) / concentrated / specialized
绩	績	メリット	jì	zik1	to spin (hemp etc) / merit / accomplishment / Taiwan pr. [ji1]
景	景	ビュー	jǐng	ging2	surname Jing || bright / circumstance / scenery
街	街	ストリート	jiē	gaai1	street / CL: 條｜条
地图	地圖	マップ	dì tú	dei6 tou4	map / CL: 張｜张, 本
街道	街道	ストリート	jiē dào	gaai1 dou6	street / CL: 條｜条 / subdistrict / residential district
红绿灯	紅綠燈	トラフィックライト	hóng lǜ dēng	hung4 luk6 dang1	traffic light / traffic signal
风景	風景	景色	fēng jǐng	fung1 ging2	scenery / landscape / CL: 個｜个
司机	司機	ドライバ	sī jī	si1 gei1	chauffeur / driver / CL: 個｜个
接	接	会います	jiē	zip3	to receive / to answer (the phone) / to meet or welcome sb / to connect / to catch / to join / to extend / to take one's turn on duty / to take over for sb
免费	免費	自由な	miǎn fèi	min5 fai3	free (of charge)
打车	打車	タクシー	dǎ chē	daa2 ce1	to take a taxi (in town) / to hitch a lift
观光	觀光	観光	guān guāng	gun1 gwong1	to tour / sightseeing / tourism
免	免	避けます	miǎn	min5	to excuse sb / to exempt / to remove or dismiss from office / to avoid / to avert / to escape / to be prohibited
观	觀	ウォッチ	guàn	gun1	surname Guan || to look at / to watch / to observe / to behold / to advise / concept / point of view / outlook || Taoist monastery / palace gate watchtower / platform
光	光	ライト	guāng	gwong1	light / ray / CL: 道 / bright / only / merely / to use up
小心	小心	注意深く	xiǎo xīn	siu2 sam1	to be careful / to take care
时差	時差	時差	shí chā	si4 caa1	time difference / time lag / jet lag
马路	馬路	道路	mǎ lù	maa5 lou6	street / road / CL: 條｜条
参观	參觀	訪問	cān guān	sam1 gun1	to look around / to tour / to visit
博物馆	博物館	博物館	bó wù guǎn	bok3 mat6 gun2	museum
博	博	豊か	bó	bok3	extensive / ample / rich / obtain / aim / to win / to get / plentiful / to gamble
安排	安排	アレンジ	ān pái	ngon1 paai4	to arrange / to plan / to set up / arrangements / plans
活动	活動	アクティビティ	huó dòng	wut6 dung6	to exercise / to move about / to operate / to use connections (personal influence) / loose / shaky / active / movable / activity / campaign / maneuver / behavior / CL: 項｜项, 個｜个
表演	表演	ショー	biǎo yǎn	biu2 jin2	play / show / performance / exhibition / to perform / to act / to demonstrate / CL: 場｜场
海边	海邊	海辺	hǎi biān	hoi2 bin1	coast / seaside / seashore / beach
活	活	ライブ	huó	wut6	to live / alive / living / work / workmanship
演	演	遊びます	yǎn	jin2	to develop / to evolve / to practice / to perform / to play / to act
邮	郵	郵便	yóu	jau4	post (office) / mail
刚才	剛才	今	gāng cái	gong1 coi4	just now / a moment ago || (just) a moment ago
电子邮件	電子郵件	Eメール	diàn zǐ yóu jiàn	din6 zi2 jau4 gin6	email / CL: 封, 份
主要	主要	主要	zhǔ yào	zyu2 jiu3	main / principal / major / primary
短信	短信	SMS	duǎn xìn	dyun2 seon3	text message / SMS
关于	關于	上の	guān yú	gwaan1 jyu1	pertaining to / concerning / with regard to / about / a matter of
主	主	主要	zhǔ	zyu2	owner / master / host / individual or party concerned / God / Lord / main / to indicate or signify / trump card (in card games)
登录	登錄	ログイン	dēng lù	dang1 luk6	to register / to log in
密码	密碼	パスワード	mì mǎ	mat6 maa5	secret code / ciphertext / password / PIN
信号	信號	信号	xìn hào	seon3 hou6	signal
登	登	昇ります	dēng	dang1	to scale (a height) / to ascend / to mount / to publish or record / to enter (e.g. in a register) / to press down with the foot / to step or tread on / to put on (shoes or trousers) (dialect) / to be gathered and taken to the threshing ground (old)
密	密	秘密	mì	mat6	surname Mi / name of an ancient state || secret / confidential / close / thick / dense
录	錄	記録	lù	luk6	surname Lu || diary / record / to hit / to copy
段	段	セクション	duàn	dyun6	surname Duan || paragraph / section / segment / stage (of a process) / classifier for stories, periods of time, lengths of thread etc
其实	其實	実際、	qí shí	kei4 sat6	actually / in fact / really
过去	過去	過去	guò qù	gwo3 heoi3	(in the) past / former / previous / to go over / to pass by || (verb suffix)
谈	談	話	tán	taam4	surname Tan || to speak / to talk / to converse / to chat / to discuss
实	實	リアル	shí	sat6	real / true / honest / really / solid / fruit / seed / definitely
同意	同意	一致します	tóng yì	tung4 ji3	to agree / to consent / to approve
决定	決定	決めます	jué dìng	kyut3 ding6	to decide (to do something) / to resolve / decision / CL: 個｜个, 項｜项 / certainly
根据	根據	によると、	gēn jù	gan1 geoi3	according to / based on / basis / foundation / CL: 個｜个
升职	升職	プロモーション	shēng zhí	sing1 zik1	to get promoted (at work etc) / promotion
根	根	ルート	gēn	gan1	root / basis / classifier for long slender objects, e.g. cigarettes, guitar strings / CL: 條｜条 / radical (chemistry)
据	據	によると、	jū	geoi3	see 拮据 || according to / to act in accordance with / to depend on / to seize / to occupy
升	升	リットル	shēng	sing1	to ascend / to rise to the rank of / to promote / to hoist / liter / measure for dry grain equal to one-tenth dou 斗
职	職	オフィス	zhí	zik1	office / duty
满意	滿意	満足	mǎn yì	mun5 ji3	satisfied / pleased / to one's satisfaction
认为	認為	私は思います	rèn wéi	jing6 wai4	to believe / to think / to consider / to feel
出差	出差	出張で	chū chāi	ceot1 caa1	to go on an official or business trip
表现	表現	ショー	biǎo xiàn	biu2 jin6	to show / to show off / to display / to manifest / expression / manifestation / show / display / performance (at work etc) / behavior
满	滿	いっぱい	mǎn	mun5	Manchu ethnic group || to fill / full / filled / packed / fully / completely / quite / to reach the limit / to satisfy / satisfied / contented
老板	老板	ボス	lǎo bǎn	lou5 baan2	Robam (brand) || boss / business proprietor / CL: 個｜个
麻烦	麻煩	トラブル	má fan	maa4 faan4	inconvenient / troublesome / annoying / to trouble or bother sb / to put sb to trouble
开会	開會	ミーティング	kāi huì	hoi1 wui2	to hold a meeting / to attend a meeting
面试	面試	インタビュー	miàn shì	min6 si3	to be interviewed (as a candidate) / interview
烦	煩	煩わします	fán	faan4	to feel vexed / to bother / to trouble / superfluous and confusing / edgy
饼	餅	パイ	bǐng	beng2	round flat cake / cookie / cake / pastry / CL: 張｜张
月亮	月亮	月	yuè liang	jyut6 loeng6	the moon
月饼	月餅	ムーンケーキ	yuè bǐng	jyut6 beng2	mooncake (esp. for the Mid-Autumn Festival)
中秋节	中秋節	中秋祭	zhōng qiū jié	zung1 cau1 zit3	the Mid-Autumn Festival on 15th of 8th lunar month
圆	圓	ラウンド	yuán	jyun4	circle / round / circular / spherical / (of the moon) full / unit of Chinese currency (Yuan) / tactful / to justify
恭喜	恭喜	祝い	gōng xǐ	gung1 hei2	congratulations / greetings
红包	紅包	赤い封筒	hóng bāo	hung4 baau1	money wrapped in red as a gift / bonus payment / kickback / bribe
汤圆	湯圓	団子	tāng yuán	tong1 jyun4	boiled balls of glutinous rice flour, eaten during the Lantern Festival
聚会	聚會	パーティー	jù huì	zeoi6 wui2	party / gathering / to meet / to get together
发财	發財	幸運を作ります	fā cái	faat3 coi4	to get rich
恭	恭	敬意	gōng	gung1	respectful
聚	聚	集まります	jù	zeoi6	to congregate / to assemble / to mass / to gather together / to amass / to polymerize
财	財	富	cái	coi4	money / wealth / riches / property / valuables
端午节	端午節	ドラゴンボートフェスティバル	duān wǔ jié	dyun1 ng5 zit3	Dragon Boat Festival (5th day of the 5th lunar month)
粽子	粽子	餃子	zòng zi	zung2 zi2	glutinous rice and choice of filling wrapped in leaves and boiled
划	劃	描きます	huá	waak6	to row / to paddle / profitable / worth (the effort) / it pays (to do sth) || to cut / to slash / to scratch (cut into the surface of sth) / to strike (a match) || to delimit / to transfer / to assign / to plan / to draw (a line) / stroke of a Chinese character
龙舟	龍舟	ドラゴンボート	lóng zhōu	lung4 zau1	dragon boat / imperial boat
端	端	終了	duān	dyun1	end / extremity / item / port / to hold sth level with both hands / to carry / regular
粽	粽	餃子	zòng	zung2	rice dumplings wrapped in leaves
龙	龍	ドラゴン	lóng	lung4	surname Long || dragon / CL: 條｜条 / imperial
舟	舟	ボート	zhōu	zau1	boat
珠	珠	真珠	zhū	zyu1	bead / pearl / CL: 粒, 顆｜颗
汤	湯	スープ	tāng	tong1	surname Tang || rushing current || soup / hot or boiling water / decoction of medicinal herbs / water in which sth has been boiled
酸	酸	酸っぱいです	suān	syun1	sour / tart / sick at heart / grieved / sore / aching / pedantic / impractical / an acid
珍	珍	宝	zhēn	zan1	precious thing / treasure / culinary delicacy / rare / valuable / to value highly
珍珠奶茶	珍珠奶茶	パールミルクティー	zhēn zhū nǎi chá	zan1 zyu1 naai5 caa4	pearl milk tea / tapioca milk tea / bubble milk tea
酸辣汤	酸辣湯	麻婆豆腐	suān là tāng	syun1 laat6 tong1	hot and sour soup / sour and spicy soup
北京烤鸭	北京烤鴨	北京ローストダック	běi jīng kǎo yā	bak1 ging1 haau1 ngaap3	Peking Duck
春卷	春卷	春巻き	chūn juǎn	ceon1 gyun2	egg roll / spring roll
豆花	豆花	カード	dòu huā	dau6 faa1	jellied tofu / soft bean curd
烤	烤	ロースト	kǎo	haau1	to roast / to bake / to broil
鸭	鴨	鴨	yā	ngaap3	duck / CL: 隻｜只 / (slang) male prostitute
卷	卷	ボリューム	juǎn	gyun2	to roll up / roll / classifier for small rolled things (wad of paper money, movie reel etc) || scroll / book / volume / chapter / examination paper / classifier for books, paintings: volume, scroll || to roll (up) / to sweep up / to carry on / roll
宫保鸡丁	宮保雞丁	クン・パオチキン	gōng bǎo jī dīng	gung1 bou2 gai1 ding1	Kung Pao Chicken / spicy diced chicken
卤肉饭	鹵肉飯	ご飯の上に蒸し煮豚肉	lǔ ròu fàn	lou5 juk6 faan6	Braised pork on rice
馒头	饅頭	蒸しパン	mán tou	maan4 tau4	steamed roll / steamed bun / steamed bread / CL: 個｜个
保	保	保険	bǎo	bou2	Bulgaria / Bulgarian / abbr. for 保加利亞｜保加利亚 || to defend / to protect / to keep / to guarantee / to ensure
卤	鹵	ハロゲン	lǔ	lou5	to stew in soy sauce and spices || alkaline soil / salt / brine / halogen (chemistry) / crass / stupid
馒	饅	蒸しパン	mán	maan4	steamed bread
丁	丁	チーン	dīng	ding1	surname Ding || fourth of the ten Heavenly Stems 十天干 / fourth in order / letter 'D' or roman 'IV' in list 'A, B, C', or 'I, II, III' etc / ancient Chinese compass point: 195° / butyl / cubes (of food)
豪	豪	ハウ	háo	hou4	grand / heroic
宅	宅	住まい	zhái	zaak6	residence / (coll.) to stay in at home / to hang around at home
土	土	地球	tǔ	tou2	Tu (ethnic group) / surname Tu || earth / dust / clay / local / indigenous / crude opium / unsophisticated / one of the eight ancient musical instruments 八音
土豪	土豪	暴君	tǔ háo	tou2 hou4	local tyrant / local strong man / (slang) nouveau riche
吃货	吃貨	食料品	chī huò	hek3 fo3	chowhound / foodie / a good-for-nothing
宅男	宅男	オタク	zhái nán	zaak6 naam4	a guy who stays at home all the time, typically spending a lot of time playing online games (derived from Japanese 'otaku')
菜鸟	菜鳥	ルーキー	cài niǎo	coi3 niu5	(coll.) sb new to a particular subject / rookie / beginner / newbie
美图	美圖	水戸	měi tú	mei5 tou4	Mito
萌	萌	芽	méng	mang4	to sprout / to bud / to have a strong affection for (slang) / adorable (loanword from Japanese 萌え moe, slang describing affection for a cute character)
自拍	自拍	自分撮り	zì pāi	zi6 paak3	to take a picture or video of oneself
囧	囧	jiongが	jiǒng	gwing2	variant of 冏 / used as emoticon ('smiley') meaning embarrassed, sad :-(, depressed or frustrated
美眉	美眉	Meimei	měi méi	mei5 mei4	(coll.) pretty girl
高富帅	高富帥	ハンサム高いです	gāo fù shuài	gou1 fu3 seoi3	Mr Perfect (i.e. tall, rich and handsome) (Internet slang)
眉	眉	眉	méi	mei4	eyebrow / upper margin
富	富	豊か	fù	fu3	surname Fu || rich / abundant / wealthy
微博	微博	Weibo	wēi bó	mei4 bok3	micro-blogging / microblog
微信	微信	マイクロ手紙	wēi xìn	mei4 seon3	Weixin or WeChat (mobile text and voice messaging service developed by Tencent 騰訊｜腾讯)
